alim_ssgrp_nom_fr,alim_nom_fr,kCal,Prot,Glucides,Lipides,Sucre,Fibres,Acides organiques,Acides gras satur,Ca,Cu,Fe,I,Mg,Mn,P,K,Se,Na,Zn,Beta-carotene,E,C,B1,B2,B3,B5,B6,B9
légumes,"Avocat, pulpe, cru",155,"1,61","3,67","13,8",1,4,"0,3","2,17","11,2","0,25","0,34",< 10,"25,2","0,24","44,4",343,"< 2,58",25,"0,46",60,"1,77","4,07","0,05","0,13","1,2","0,77","0,12","79,9"
légumes,"Bette ou blette, crue","12,3",1,"0,5","< 0,5","0,5","1,8","0,13","< 0,01",25,"0,03","0,85",< 20,17,"0,16",10,300,< 20,"53,2","0,07","25,9","0,25","3,08","< 0,015","0,015","< 0,1","0,2","0,036","24,7"
légumes,"Carotte, crue","36,4","0,77","6,45","0,26","5,42","2,7",-,"0,054","32,6","0,041","0,31",< 5,"11,3","0,25","32,7",301,"0,17",39,"0,22",8290,"0,61","5,84","0,054","0,047","0,99","0,28","0,13","32,3"
légumes,"Champignon, tout type, cru","21,6","2,34","1,88","0,23","1,43","1,72",-,"0,055","7,78","0,32","0,69",1,"10,9","0,061","85,6",341,"< 2,78","4,76","0,65",0,"0,01","3,4","0,084","0,42","4,55","1,75","0,082",29
légumes,"Salade ou chicorée frisée, crue","22,7","1,48","2,4","0,25","0,7","2,45",-,"0,061",76,"0,2","0,85","0,4","22,5","0,42","37,5",367,1,"33,5","0,61",3430,"2,26","18,5","0,07","0,088","0,45","1,03","0,063",126
légumes,"Chou rouge, cru","29,1","1,34","4,5","0,18","3,49","2,05",-,"0,03","44,8","0,024","0,63","0,1",15,"0,22","32,1",268,1,"18,5","0,21",670,"0,09","58,5","0,065","0,06","0,51","0,24","0,18",32
légumes,"Chou-fleur, cru",23,"1,77","2,05","0,31","1,56","2,13","0,22","0,088","26,4","0,033","0,41","0,8","11,9","0,16","46,1",293,"< 2,2","3,69","0,26",0,"0,14","56,6","0,054","0,067","0,55","0,63","0,16",111
légumes,"Concombre, pulpe et peau, cru","13,6","0,64","2,04","0,11","1,34","0,6","0,26","0,035","19,2","0,026","0,13","0,3","13,6","0,085","24,7",157,< 10,"4,8","0,095",45,"0,09","8,25","0,022","0,025","0,15","0,28","0,037","12,3"
légumes,"Courgette, pulpe et peau, crue","16,5","1,22","1,8","0,26","1,79","1,05",-,"0,061","18,7","0,052","0,36","1,64","17,5","0,18","44,7",262,"0,58",9,"0,31",120,"0,12","17,5","0,047","0,12","0,47","0,18","0,19",36
légumes,"Cresson de fontaine, cru","14,9","2,06","0,9","0,15","0,2","0,85",-,"0,027",101,"0,11","0,9","13,5",19,"0,37","64,2",320,-,"50,5","0,16",1910,1,"51,5","0,095","0,11","0,4","0,21","0,13",9
légumes,"Céleri branche, cru","21,5","0,66","3,6","0,19","1,27","1,6",-,"0,04","48,4","0,073","0,3","1,1","9,5","0,1","27,1",289,"0,046",71,"0,12",270,"0,24","6,05","0,028","0,066","0,39","0,32","0,082",32
légumes,"Endive, crue","20,8","1,1","3,15","0,2","2,2",1,-,"0,034","23,9","0,051","0,14",< 10,"12,6","0,098",24,185,< 10,"1,99","0,19",< 50,"0,27","1,5","< 0,05","< 0,05","0,13","0,14","< 0,05","44,1"
légumes,"Fenouil, cru",20,"1,14","2,3","0,2","2,21","2,23",-,"0,046","39,6","0,066","0,53","0,5",14,"0,19","44,4",405,-,"39,5","0,21",578,"0,58","10,5","0,02","0,071","0,42","0,23","0,053","28,5"
légumes,"Laitue, crue","15,1","1,3","1,33","0,2","0,73","1,2","0,13","0,021","64,6","0,036","0,98","1,22","14,9","0,4","29,5",200,"2,33","8,47","0,2",3640,"0,18","11,8","0,067","0,077","0,36","0,14","0,09","43,5"
légumes,"Oignon, cru",39,"1,1","6,25","0,62","4,8","1,7","0,21","0,2",25,"< 0,0001","0,00019",< 10,9,"0,1",37,190,"2,3",39,"0,23",< 50,"0,045","3,9","< 0,05","< 0,05","< 0,05","0,15","0,1","29,6"
légumes,"Pissenlit, cru","48,8","2,84","6,1","0,85","0,71","2,7",-,"0,17","62,3","0,067","3,1","0,4","13,2","0,16",66,397,"< 2,2","87,8","0,21",5850,"3,44","37,5","0,19","0,2","0,8","0,084","0,25",27
légumes,"Poireau, cru","32,6","1,59","4,9","0,25","3,15","2,27",-,"0,05","50,7","0,087","1,5","1,1",19,"0,34","40,3",208,"0,56","14,5","0,21",1000,"0,74","18,5","0,065","0,065","0,5","0,13","0,24",73
légumes,"Poivron, vert, jaune ou rouge, cru","26,8","0,8","4,55","0,27","2,7","1,5",-,"0,071","7,7","< 0,1","0,4",< 5,"11,9","0,1","22,5",155,"0,1","8,4","0,13",834,"1,44",121,"0,041","0,041","0,74","0,12","0,38","40,7"
légumes,"Potiron, cru","19,9",1,"3,5","0,1","1,36","0,5",-,"0,052",21,"0,13","0,8",-,12,"0,13",44,340,-,1,"0,32",3100,"1,06",9,"0,05","0,11","0,6","0,3","0,061",16
légumes,"Radis rouge, cru","11,4","0,76","1,24","0,1","1,24","1,1","0,1",traces,32,"0,019","0,27",1,"12,6","0,044","24,1",294,< 10,"30,7","0,12",4,"0,01","27,5","0,021","0,035","0,26","0,18","0,067","21,8"
légumes,"Tomate, crue","18,4","0,86","2,26","0,26","2,25","1,2","0,39","0,056","8,14","0,029","0,12","0,2","10,1","0,066","26,6",256,< 10,"3,22","0,087",449,"0,66","15,5","0,039","0,019","0,65","0,21","0,082","22,7"
légumes,"Artichaut, cru","45,7","3,1","5,02","0,18","0,99","5,4","0,27","0,036",52,"0,23","1,19","0,5","47,8","0,26","81,2",387,"0,23","60,5","0,49",8,"0,27","11,7","0,081","0,063","1,05","0,32","0,11",68
légumes,"Aubergine, crue","21,2","1,12","2,39","0,14","2,39","2,7","0,18","0,034","8,7","0,081","0,32","0,15",12,"0,24","27,2",235,"0,2","2,5","0,16",14,"0,17","2,1","0,045","0,034","0,72","0,25","0,082","24,5"
légumes,"Cardon, cru","13,6","0,66","1,7","0,1","1,5","1,6",-,"0,011",70,"0,23","0,7","0,095",42,"0,26",23,400,"0,2",170,"0,17",-,"0,19",2,"0,02","0,03","0,3","0,34","0,12",68
légumes,"Céleri-rave, cru","32,4","1,5","4,3","0,2","3,6","3,7",-,"0,043","25,9","0,061","0,24",< 10,"11,3","0,09",76,343,< 10,"81,7","0,18",< 50,"0,1",2,"< 0,05","0,05","0,91","0,64","0,17","86,4"
légumes,"Champignon de Paris ou champignon de couche, cru","21,1","2,62","1,33","0,36","1,06",1,"0,13","0,067","6,03","0,35","0,31",1,"10,5","0,076","96,6",364,"6,47",39,"0,5",0,"0,02","3,09","0,073","0,29",5,"1,57","0,1","34,5"
légumes,"Brocoli, cru","35,9","3,95","1,68","0,48","1,68","2,9","1,1","0,061","45,9","0,059","0,76","0,8","21,9","0,4","76,5",357,"0,6",19,"0,4",361,"1,04",106,"0,074","0,12","0,82","0,78","0,17",153
légumes,"Chou de Bruxelles, cru","50,1","3,98","5,67","0,4","2,2","3,95",-,"0,07","32,3","0,062","1,15","0,25","23,5","0,3","76,4",436,"1,1","16,5","0,43",450,"0,89",103,"0,13","0,13","0,77","0,52","0,25","95,5"
légumes,"Épinard, cru","28,7","2,62","2,25","0,5","0,32","2,37",-,"0,064",114,"0,1","3,61","3,4","52,5","1,3","45,2",504,"0,1","66,7","0,82",5630,"2,47","41,1","0,087","0,21","0,71","0,18","0,21",207
légumes,"Haricot vert, cru",31,"1,85","3,85","0,21","3,03","2,85","0,2","0,06","48,5","0,063","1,02","0,8",21,"0,23","38,5",224,"0,3","3,85","0,32",379,"0,36","13,6","0,086","0,11","0,72","0,14","0,12","48,5"
légumes,"Navet, pelé, cru","26,8","0,82","4,7","0,1","3,8","1,9",-,"0,011",40,"0,063","0,4","0,5","9,5","0,1","38,5",237,"1,25",42,"0,25",0,"0,03","18,5","0,04","0,038","0,7","0,2","0,085","17,5"
légumes,"Chou-rave, cru","25,1","1,79","2,35","0,1","2,35","3,6","0,16","0,013",24,"0,13","0,4","0,71",19,"0,14",46,350,"0,47",20,"0,03",22,"0,48","55,1","0,05","0,02","0,4","0,17","0,15",16
légumes,"Chou vert, cru","25,3","2,53","0,99","0,41","0,99","3,08","0,44","0,054","96,2","0,049","0,93","0,3",18,"0,17","32,7",231,"1,86","25,8","0,22",321,"0,16",69,"0,059","0,039","0,26","0,17","0,15","67,9"
légumes,"Haricot vert, surgelé, cru",34,"1,97","4,35","0,17","1,96","3,68",-,"0,049","51,5","0,063","0,85","0,8",22,"0,29","40,8",186,"0,3","3,86","0,31",292,"0,24",18,"0,099","0,092","0,5","0,077","0,068","39,5"
légumes,"Petits pois, crus","67,3","5,84",7,"0,55","5,67","5,5",-,"0,1","27,5","0,14","1,64","0,15","30,5","0,4",119,272,"1,02","3,5",1,449,"0,075","41,5","0,29","0,13","2,15","0,43","0,16",45
légumes,"Asperge, pelée, crue","23,5","2,04","2,4","0,21","1,88","1,95",-,"0,051",22,"0,12","1,32","0,15","11,5","0,16",52,202,1,"4,2","0,49",449,"0,72","8,8","0,13","0,12","0,99","0,17","0,076",101
légumes,"Chou-fleur, surgelé, cru","25,9","2,09","2,64","0,37","1,91","1,82",-,"0,1","21,7","0,031","0,51","0,3",12,"0,2","41,6",193,"0,8","20,3","0,17",7,"0,07","51,9","0,051","0,07","0,43","0,14","0,12",64
légumes,"Épinard, surgelé, cru","24,9","2,87","0,89","0,49","0,6","2,7",-,"0,075",159,"0,12","2,28","3,4","50,5","0,53","47,7",398,"0,1","46,5","0,49",7040,"2,9","21,4","0,093","0,2","0,51","0,11","0,18",183
légumes,"Petits pois, surgelés, crus","75,4","5,86","8,77","0,44","3,87","6,45",-,"0,11","27,3","0,15","1,53","0,15","25,9","0,35","86,9",158,"1,02",39,"0,86",1230,"0,025","20,8","0,27","0,099","1,72","0,43","0,08",87
légumes,"Poivron vert, cru","19,8","0,74","2,8","0,24","2,18","1,75",-,"0,057","13,5","0,057","0,35","0,4","11,2","0,093","23,7",181,"2,23","1,09","0,12",208,"0,46","92,2","0,046","0,027","0,54","0,16","0,21","22,5"
légumes,"Poivron rouge, cru","29,4","1,12","4,5","0,35","4,13","1,9",-,"0,055","6,39","0,049","0,46","0,4","12,4","0,11","28,3",229,"0,1","4,5","0,24",1620,"2,24",159,"0,052","0,09","1,29","0,29","0,3",67
légumes,"Radis noir, cru","20,3","0,9","3,1","< 0,1",-,"1,9",-,-,"53,8","< 0,1","0,15",19,11,"< 0,1",29,312,-,"8,6","0,14",< 50,traces,"6,4","< 0,05","< 0,05","1,2","0,21","0,06","58,4"
légumes,"Scarole, crue","14,5","1,33","0,3","0,2","0,23","3,1",-,"0,048",52,"0,099","0,83","0,4",15,"0,42",28,314,"0,6",22,"0,79",1500,traces,"6,5","0,08","0,075","0,4","0,9","0,02",142
légumes,"Betterave rouge, crue","50,6","1,74","9,1","0,24","6,76","2,55",-,"0,038","22,1","0,098","0,7","0,5",19,"0,46","38,1",328,"0,2","60,5","0,54",20,"0,06","6,45","0,028","0,043","0,27","0,15","0,059",100
légumes,"Échalote, crue","58,7","1,84","8,35","1,43","3,63","2,5",-,"0,23",37,"0,088","1,2",2,21,"0,29",60,334,-,11,"0,4",3,"0,04",8,"0,06","0,02","0,2","0,29","0,35",34
légumes,"Mâche, crue","19,2","2,3","0,6","0,4",-,2,-,"0,073","49,3","< 0,1",2,< 10,29,"0,53",52,385,"< 4,18","12,7","0,35",1550,traces,"12,5","0,06","0,12","0,34","0,28","0,05","59,1"
légumes,"Légumes, mélange surgelé, crus","65,1","2,26","5,71","2,65","2,18","4,7",-,"0,62",33,"0,093","0,98",< 5,24,"0,24",59,212,-,39,"0,45",500,-,"13,7","0,12","0,085","1,25","0,16","0,096",29
légumes,"Champignon, chanterelle ou girolle, crue","33,1","2,28","2,3","0,78","1,87","4,23",-,"0,5","8,33","0,39","3,52","3,3",10,"0,28","53,5",449,"0,9",5,"0,84",-,"0,06","5,5","0,053","0,31","5,44","1,08","0,042",2
légumes,"Champignon, morille, crue","24,5","3,16","0,1","0,54","0,044","3,35",-,"0,16",43,"0,63","1,2",-,19,"0,59",194,411,-,21,"2,03",0,"0,05",5,"0,069","0,21","2,25","0,44","0,14",9
légumes,"Maïs doux, en épis, surgelé, cru","97,4","3,36",17,"1,19","3,78","2,65",-,"0,19","4,18","0,15","0,59","0,5","30,3","0,25",108,276,4,4,"1,05",61,"0,37","6,9","0,11","0,082","1,72","0,39","0,18","36,5"
légumes,"Oseille, crue","23,4","1,89","1,6","0,65","1,54","1,8",-,"0,1",44,"0,13","2,4","0,4",103,"0,35",63,390,"0,9",4,"0,2",-,-,48,"0,04","0,1","0,5","0,041","0,12",13
légumes,"Champignon, pleurote, crue","25,5","3,06","1,5","0,36","0,71","2,4",-,"0,062",5,"0,24","1,17",-,18,"0,11",120,420,-,"13,5","0,77",29,0,4,"0,13","0,35","4,96","1,29","0,11",38
légumes,"Chou blanc, cru","28,4","1,25","4,25","0,2",-,"2,3",-,"0,041","50,9","0,019","0,31","0,7","10,9","0,24","30,1",240,"0,77",6,"0,15",-,"0,02","45,8","0,049","0,036","0,4","0,21","0,16",77
légumes,"Tomate verte, crue","24,8","1,2",4,"0,2",4,"1,1",-,"0,028",13,"0,09","0,51",-,10,"0,1",28,204,-,13,"0,07",346,"0,38","23,4","0,06","0,04","0,5","0,5","0,081",9
légumes,"Haricot de Lima, cru",105,"6,84","15,3","0,86","1,48","4,9",-,"0,2",34,"0,32","3,14",-,58,"1,22",136,467,-,8,"0,78",126,"0,32","23,4","0,22","0,1","1,47","0,25","0,2",34
légumes,"Courge musquée, pulpe, crue","23,5","0,55","4,6","0,1",-,1,-,-,"18,3",-,"0,43","0,5","6,25",-,"18,3",235,-,-,-,-,-,"4,6","0,01",-,-,-,-,-
légumes,"Potimarron, pulpe, cru",18,"0,63","3,1","0,1",-,"1,1",-,"0,027","18,5","0,029","0,27","0,15","7,13","0,038",33,243,"< 3,35","29,7","0,11",-,"0,1",5,"0,05","0,02","0,2","0,4","0,05",36
légumes,"Courge hokkaïdo, pulpe, crue","56,1","1,4","9,98","0,6",-,"2,6",-,-,"24,7",-,"0,4",-,"10,8",-,"32,8",436,-,-,-,-,-,"13,9","0,015",-,-,-,-,-
légumes,"Courge melonnette, pulpe, crue","30,8","0,75","5,98","0,13",-,"1,35",-,-,"18,3",-,"0,48",-,"16,8",-,"23,5",359,-,-,-,-,-,"9,7","0,01",-,-,-,-,-
légumes,"Courge doubeurre (butternut), pulpe, crue",25,1,"4,03","0,1","2,2",2,-,"0,021",48,"0,072","0,7",-,34,"0,2",33,352,-,4,"0,15",4230,"1,44",21,"0,1","0,02","1,2","0,4","0,15",27
légumes,"Courge, crue","14,9","1,1","1,6","0,17","1,6","1,3",-,"0,037","28,5","0,061","0,6","0,15","16,5","0,17","30,5",312,"0,24","4,5","0,26",820,"0,12","14,7","0,028","0,1","0,49","0,17","0,13",34
légumes,"Courge spaghetti, pulpe, crue","32,3","0,64","5,41","0,57","2,76","1,5",-,"0,12",23,"0,037","0,31",-,12,"0,13",12,108,-,17,"0,19",64,"0,13","2,1","0,037","0,018","0,95","0,36","0,1",12
légumes,"Piment, cru","44,5","1,87","7,7","0,32","5,3","1,65",-,"0,031",14,"0,15","1,12",-,24,"0,21","55,3",331,-,8,"0,28",534,"0,69",155,"0,081","0,088","1,07","0,13","0,39",23
légumes,"Champignon, oronge vraie, crue","23,2",2,"2,45","0,3",1,"1,7",-,"0,07",17,-,"1,1",-,-,-,89,320,-,5,"0,4",-,"0,12",3,"0,1","0,31",4,-,"0,18",44
légumes,"Champignon, cèpe, cru","31,6","3,13","3,03","0,43","1,7","1,93",-,"0,071",23,"0,23",1,-,12,"0,17",129,361,120,5,"0,4",-,"0,04",3,"0,21","0,32","4,45","2,7","0,18",44
légumes,"Champignon, rosé des prés, cru","25,3","2,3","2,45","0,4",1,"1,7",-,"0,1",10,-,"1,2",-,-,-,102,320,-,5,"0,4",-,"0,12",4,"0,1","0,13","4,2",-,"0,18",44
légumes,"Chicorée rouge, crue","18,9","1,4","1,6","0,1","1,6",3,-,"0,02",36,-,"0,3",-,-,-,30,180,-,7,"0,2",-,"0,57",10,"0,07","0,05","0,3",-,"0,07",13
légumes,"Chicorée verte, crue","16,1","1,9","0,5","0,5","0,5",1,-,"0,12","82,5","0,06","4,15",-,17,"0,3",45,498,-,"16,5","0,32",3250,"0,57",46,"0,06","0,53","0,3",-,"0,02",29
légumes,"Citrouille, pulpe, crue","29,9",1,6,"0,1","2,76","0,5",-,"0,052",21,"0,13","0,8",-,12,"0,13",44,340,-,1,"0,32",3100,"1,06",9,"0,05","0,11","0,6","0,3","0,061",16
légumes,"Chou chinois ou pak-choi ou pé-tsai, cru",16,"1,38","1,65","0,2","1,18","1,05",-,"0,031","86,4","0,021","0,68","0,3","17,5","0,17","37,8",249,"0,29",51,"0,17",2680,"0,11","40,3","0,04","0,065","0,48","0,092","0,19","73,6"
légumes,"Poivron jaune, cru","29,4",1,"5,42","0,21",-,"0,9",-,"0,031",11,"0,11","0,46",-,12,"0,12",24,212,-,2,"0,17",120,-,184,"0,028","0,025","0,89","0,17","0,17",26
légumes,"Laitue romaine, crue","17,3","1,24","1,35","0,3","1,19","2,1",-,"0,04",33,"0,048","0,97","1,25",14,"0,16",30,247,1,8,"0,23",5230,"0,13",14,"0,072","0,067","0,31","0,14","0,074",136
légumes,"Tomate cerise, crue","21,4","0,8",3,"0,4","2,96","1,3",-,"0,054",11,"0,06","0,4",2,11,"0,1",30,290,traces,13,"0,2",792,"1,22",28,"0,06","0,04",1,"0,25","0,14",17
légumes,"Pois mange-tout ou pois gourmand, cru","44,8","3,08","6,2","0,27",4,"2,63",-,"0,039","40,7","0,079","2,08",-,24,"0,24","56,8",200,-,4,"0,27",630,"0,39",60,"0,15","0,08","0,6","0,75","0,16",42
légumes,"Panais, cru","58,3","1,54","10,1","0,4","4,8","4,7",-,"0,063","45,5","0,13","0,7","0,25","29,5","0,48","82,5",505,"0,2",8,"0,72",0,"1,9","11,5","0,09","0,12","1,95","0,6","0,1",67
légumes,"Haricot mungo germé ou pousse de ""soja"", cru","30,5","2,57","3,4","< 0,5","3,4","1,7",-,"< 0,0002",16,"0,1","0,44",< 20,16,"0,12",43,120,< 50,"17,1","0,32",< 10,"0,095","4,13","0,065","0,06","0,71","0,17","0,06","61,3"
légumes,"Haricot beurre, cru","36,1","1,85","5,6","0,16",-,"2,45",-,"0,026",41,"0,07","1,07","0,6",26,"0,21",38,209,-,6,"0,32",-,"0,45","18,7","0,08","0,12","0,68","0,072","0,087","68,5"
légumes,"Salsifis noir, cru","83,1","3,21","15,3","0,27",-,"3,3",-,"< 0,1","42,1","0,1","0,7","0,2","27,6","0,27","84,5",384,-,"12,3","0,38",-,"0,8","5,5","0,12","0,14","0,4","0,37","0,17",26
légumes,"Bambou, pousse, crue","35,1","2,52","5,08","0,2",3,"1,45",0,"0,053","15,5","0,19","0,4",-,3,"0,26","54,5",517,-,4,"1,1",12,1,"7,5","0,095","0,095","0,55","0,16","0,24",7
légumes,"Cresson alénois, cru","27,1","2,55","2,2","0,6","2,2","1,35",-,"0,047","75,5","0,13","1,8","0,9",41,"0,55",76,368,-,"38,5","0,35",4150,"2,15",52,"0,13","0,23","1,75","0,27","0,27",95
légumes,"Laitue iceberg, crue","17,7","1,01","2,45","0,18","1,48","1,15",-,"0,023","17,4","0,029","0,43","0,6","8,73","0,19","23,6",179,"0,15","9,48","0,21",299,"0,22","4,72","0,048","0,038","0,19","0,11","0,048",48
légumes,"Rutabaga, cru","33,8","1,17","5,7","0,13","4,46","2,6",-,"0,023","45,2","0,031","0,35","0,5",17,"0,14","47,8",349,0,11,"0,21",1,"0,3",33,"0,068","0,04","1,25","0,14","0,11",24
légumes,"Haricot beurre, surgelé, cru","33,8",2,"4,9","0,17","2,5","2,33",-,"0,047",51,"0,049","0,78","0,4",22,"0,39",32,186,-,"2,5","0,26",-,-,16,"0,099","0,092","0,5","0,085","0,042",15
légumes,"Brocoli, surgelé, cru","26,9","2,79","1,56","0,44","1,24","2,77",-,"0,097","48,5","0,036","0,77",-,17,"0,26","54,5",231,"2,8","21,4","0,41",675,"1,29","62,3","0,063","0,11","0,46","0,24","0,18","80,5"
légumes,"Chou de Bruxelles, surgelé, cru","43,2","3,43","4,5","0,33","2,35","4,28",-,"0,062",34,"0,043","0,82","0,25",22,"0,29","65,5",427,"1,1",14,"0,37",370,"0,34","77,5","0,12","0,11","0,69","0,35","0,19","93,5"
légumes,"Carotte, surgelée, crue","30,5","0,63","4,99","0,27","4,73","2,76",-,"0,067","34,9","0,074","0,41",-,12,"0,17",33,235,-,51,"0,33",12800,"0,57","4,32","0,044","0,037","0,46","0,19","0,095",10
légumes,"Concombre, pulpe, cru","11,4","0,58","1,5","0,19","1,38","0,7",-,"0,078",14,"0,071","0,22",< 5,12,"0,073",21,136,-,"6,5","0,17",31,"0,03","3,73","< 0,04","0,018","0,11","< 0,16","0,048",10
légumes,"Petits pois et carottes, surgelés, crus","55,9","3,89","7,1","0,37","3,43","4,3",-,"0,097","29,5","0,089","1,2",-,18,"0,24",60,194,-,"31,3","0,52",-,-,"13,6","0,19","0,081","1,41","0,2","0,1",36
légumes,"Roquette, crue","27,9","2,58","2,1","0,66","2,05","1,6",-,"0,086",160,"0,076","1,46",-,47,"0,32",52,369,-,27,"0,47",1420,"0,43",15,"0,044","0,086","0,31","0,44","0,073",97
légumes,"Chou frisé, cru","53,5","4,33","4,2","1,07","2,26","4,9",-,"0,12",185,"0,8","1,74","1,4","33,5","0,58",83,378,"2,1","36,5","0,59",5930,"3,47",145,"0,13","0,21","1,9","0,55","0,31",101
légumes,"Champignon de Paris ou champignon de couche, surgelé, cru","15,9","1,8","0,83","0,25","0,25","1,97",-,"0,1",10,-,"0,8",-,-,-,-,-,-,5,-,-,-,4,-,-,-,-,-,-
légumes,"Courgette, pulpe et peau, surgelée, crue","17,8","1,19","2,18","0,14","1,56","1,48",-,"0,027",20,"0,05","0,64",-,13,"0,24",28,218,-,"8,36","0,21",119,"0,12","9,32","0,048","0,042","0,43","0,3","0,05",10
légumes,"Crosne, surgelé, cru","40,4","1,4","8,7",0,"0,5",0,-,0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
légumes,"Artichaut, fond, surgelé, cru","59,7","2,08","8,09","0,43","1,89","7,54",-,"0,1",-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-
légumes,"Maïs doux, surgelé, cru",105,"3,28","19,8","0,78","3,78","2,8",-,"0,12",4,"0,051","0,68",-,32,"0,16",87,294,-,5,"0,7",61,"0,09","7,2","0,1","0,088","1,68","0,29","0,18",40
légumes,"Navet, surgelé, cru","16,6","0,82",2,"0,18","1,9","1,85",-,"0,017",23,"0,045","0,7",-,10,"0,071",20,137,-,25,"0,14",-,-,"4,4","0,03","0,02","0,4","0,11","0,048",8
légumes,"Oignon, surgelé, cru","31,9",1,"5,39","0,12","4,59","2,65",-,"0,017","26,5","0,035","0,4",-,"8,5","0,1","22,5",133,-,"9,43","0,095",1,"0,045","5,65","0,028","0,026","0,16","0,1","0,084",19
légumes,"Poireau, surgelé, cru","36,4","1,42","3,35","1,36","2,76","2,55",-,"0,25",252,-,"0,8",-,-,-,-,-,-,"6,75",-,-,-,26,-,-,-,-,-,-
légumes,"Salsifis, surgelé, cru","40,2","2,65","4,15","0,15","2,5","5,8",-,0,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-
légumes,"Légumes pour potages, surgelés, crus","34,1","1,44","4,69","0,44","2,5","2,86",-,"0,11",37,-,1,-,-,-,-,-,-,"16,9",-,-,-,25,-,-,-,-,-,-
légumes,"Julienne ou brunoise de légumes, surgelée, crue","27,9","1,19","4,08","0,25","3,13","2,28",-,"0,1","43,5",-,"0,55",-,-,-,-,-,-,"54,5",-,-,-,9,-,-,-,-,-,-
légumes,"Légumes pour ratatouille, surgelés","21,1","1,01","3,23","0,089","2,88","1,67",-,0,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
légumes,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)","51,5","2,4","8,48","0,078","2,62","3,62",-,0,-,-,-,-,-,-,-,-,-,"16,7",-,-,-,16,-,-,-,-,-,-
légumes,"Haricot plat, cru","32,6","1,93","4,47","0,12","1,3","2,97",-,0,60,-,"0,8",-,-,-,-,-,-,2,-,-,-,16,-,-,-,-,-,-
légumes,"Épinard, jeunes pousses pour salades, cru","22,1","2,9","0,92","< 0,5","< 0,2","2,4","0,038","< 0,01",86,"0,1","2,2",30,120,"0,47",52,750,< 20,"80,2","0,82",2710,"2,36","11,6","0,16","0,052","0,32","0,21","0,18",128
légumes,"Mesclun ou salade, mélange de jeunes pousses",22,2,"2,5",0,0,2,-,0,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-
légumes,"Asperge, verte, crue","24,7","2,46","2,03","0,27","1,5","2,15",-,"0,069","22,4",-,1,-,"12,2",-,"85,5",267,-,"3,85",-,-,-,"15,5",-,-,-,-,"0,15",150
légumes,"Chou romanesco ou brocoli à pomme, cru","28,8","2,93","2,2","0,4","2,2","2,35",-,"0,047","34,5","0,041","0,92",-,20,"0,25",62,300,-,"15,5","0,64",93,"0,04","70,6","0,08","0,1","0,73","0,7","0,22",57
légumes,"Asperge, blanche ou violette, pelée, crue","26,3","2,5","2,5","0,3",-,"1,8",-,"0,07","16,6",-,-,-,"7,3",-,"42,5",169,-,"7,7",-,-,-,18,-,-,-,-,"0,072",150
légumes,"Salicorne (Salicornia sp.), fraîche","14,1","0,67","1,1","0,24",-,"2,46",-,-,"34,3","0,07","4,89",0,"75,3","0,7","19,5",119,-,1020,"0,48",-,"0,51",-,-,-,-,-,-,-
légumes,"Légumes pour couscous, surgelés, crus","46,5","2,05","6,75","0,7","3,05","2,53",-,"0,1","35,6",-,"0,8",-,-,-,-,-,-,39,-,-,-,"27,4",-,-,-,-,-,-
légumes,"Salade verte, crue, sans assaisonnement","13,5","1,01","1,5","0,1","0,83","1,3",-,"0,028","35,3","0,061","0,64",< 5,"15,3","0,22","23,5",260,"3,23","18,3","0,18",2000,"0,17","1,95","0,041","< 0,04","0,14","< 0,16","0,052","55,3"
légumes,"Banane plantain, crue",132,"1,28","29,6","0,39",-,"2,3",-,"0,14",3,"0,081","0,6","2,5",37,traces,34,499,-,4,"0,14",457,"0,14","18,4","0,052","0,054","0,69","0,26","0,3",22
légumes,"Artichaut, cuit","33,2","2,53","0,99","0,28","0,99","8,3",-,"0,069","42,9","0,082","0,67",< 5,"44,6","0,14",73,427,< 10,60,"0,29",8,"0,19","9,1","0,05","0,089","1,11","0,24","0,081",89
légumes,"Asperge, bouillie/cuite à l'eau","19,8","2,53","0,81","0,32","0,81","1,8",-,"0,072","19,9","0,074","0,74","0,25","6,31","0,049","51,5",198,"< 3,35","8,5","0,2",544,"1,35","16,1","0,11","0,12","1,06","0,19","0,05",142
légumes,"Aubergine, cuite","32,7","1,23","4,17","0,28","3,41","4,3",-,"0,052","20,1","0,058","0,25",1,15,"0,12",15,123,"< 3,35","5,95","0,098",22,"0,41","1,3","0,076","0,02","0,6","0,075","0,086",14
légumes,"Betterave rouge, cuite","47,2","1,84","8,56","0,18","7,96",2,-,"0,028","19,1","0,053","0,79","0,31","16,8","0,45",38,305,"< 2,2",77,"0,27",21,"0,04","3,6","0,027","0,04","0,33","0,15","0,067",80
